case,mu,signal,series,samples,relative_max_error,relative_l2_error,absolute_max_error,absolute_l2_error,max_error_time,wall_seconds,status,notes
ACTIVSg200,1425.1,p,40,2403,4.052697532585e-04,1.052280746531e-04,2.432699536091e-03,2.935857099031e-02,1.175000000000e+00,0.164506,ok,
ACTIVSg200,1425.1,q,40,2403,1.206830321587e-03,3.655645260983e-04,4.315361296202e-03,1.315823728942e-02,1.025000000000e+00,0.164506,ok,
ACTIVSg200,1425.1,vmag,200,2403,3.420998391656e-04,4.227958461276e-05,3.776044315035e-04,2.180332175036e-03,1.025000000000e+00,0.164506,ok,
ACTIVSg200,1701.25,omega,40,2403,2.876076523772e-03,3.090381385590e-03,3.076232467721e-05,3.770209934118e-04,1.987500000000e+00,0.166772,ok,
ACTIVSg200,1701.25,p,40,2403,4.079572727131e-04,9.661042687680e-05,2.448831821508e-03,2.695425232494e-02,1.175000000000e+00,0.166772,ok,
ACTIVSg200,1701.25,q,40,2403,1.206809574468e-03,3.521852954586e-04,4.315287109044e-03,1.267666131873e-02,1.025000000000e+00,0.166772,ok,
ACTIVSg200,1701.25,vmag,200,2403,3.420583148461e-04,3.816950314576e-05,3.775585976116e-04,1.968377801629e-03,1.025000000000e+00,0.166772,ok,
ACTIVSg200,2030.92,omega,40,2403,2.856167331845e-03,3.072130253232e-03,3.054937727437e-05,3.747943879563e-04,1.987500000000e+00,0.166987,ok,
ACTIVSg200,2030.92,p,40,2403,4.101968011316e-04,8.957023080764e-05,2.462274965737e-03,2.499004175885e-02,1.175000000000e+00,0.166987,ok,
ACTIVSg200,2030.92,q,40,2403,1.206791888729e-03,3.421085790319e-04,4.315223868709e-03,1.231395701791e-02,1.025000000000e+00,0.166987,ok,
ACTIVSg200,2030.92,vmag,200,2403,3.472442134352e-04,3.485045307140e-05,3.832827110556e-04,1.797216430628e-03,1.175000000000e+00,0.166987,ok,
ACTIVSg200,2424.46,omega,40,2403,2.824845616697e-03,3.041682614550e-03,3.021436227638e-05,3.710798305763e-04,1.666666666667e+00,0.164214,ok,
ACTIVSg200,2424.46,p,40,2403,4.118481710920e-04,8.375609099432e-05,2.472187590364e-03,2.336790016765e-02,1.175000000000e+00,0.164214,ok,
ACTIVSg200,2424.46,q,40,2403,1.206754299861e-03,3.344019199499e-04,4.315089459139e-03,1.203656125965e-02,1.025000000000e+00,0.164214,ok,
ACTIVSg200,2424.46,vmag,200,2403,3.536651364851e-04,3.214245428376e-05,3.903700251097e-04,1.657566598664e-03,1.175000000000e+00,0.164214,ok,
ACTIVSg200,2894.27,omega,40,2403,2.811672613047e-03,3.029649785290e-03,3.007346469876e-05,3.696118469603e-04,1.666666666667e+00,0.164280,ok,
ACTIVSg200,2894.27,p,40,2403,4.135579371162e-04,7.907973405128e-05,2.482450747139e-03,2.206319932863e-02,1.175000000000e+00,0.164280,ok,
ACTIVSg200,2894.27,q,40,2403,1.206735395373e-03,3.287482976158e-04,4.315021860824e-03,1.183306311116e-02,1.025000000000e+00,0.164280,ok,
ACTIVSg200,2894.27,vmag,200,2403,3.587535170721e-04,2.998091178647e-05,3.959864997140e-04,1.546097181504e-03,1.175000000000e+00,0.164280,ok,
ACTIVSg200,3455.11,omega,40,2403,2.806518350094e-03,3.014820350573e-03,3.001833504240e-05,3.678026824880e-04,1.666666666667e+00,0.164217,ok,
ACTIVSg200,3455.11,p,40,2403,4.149688438552e-04,7.543210598644e-05,2.490919951026e-03,2.104551324209e-02,1.175000000000e+00,0.164217,ok,
ACTIVSg200,3455.11,q,40,2403,1.206674515149e-03,3.245866454453e-04,4.314804166456e-03,1.168326737644e-02,1.025000000000e+00,0.164217,ok,
ACTIVSg200,3455.11,vmag,200,2403,3.628852575403e-04,2.825874890798e-05,4.005470499744e-04,1.457286301052e-03,1.175000000000e+00,0.164217,ok,
ACTIVSg200,4124.63,omega,40,2403,2.796216614521e-03,3.003225879291e-03,2.990814835862e-05,3.663881777601e-04,1.666666666667e+00,0.164349,ok,
ACTIVSg200,4124.63,p,40,2403,4.161416658750e-04,7.263491685000e-05,2.497960011530e-03,2.026509911681e-02,1.175000000000e+00,0.164349,ok,
ACTIVSg200,4124.63,q,40,2403,1.206553937261e-03,3.213879531679e-04,4.314373006298e-03,1.156813270390e-02,1.025000000000e+00,0.164349,ok,
ACTIVSg200,4124.63,vmag,200,2403,3.668924608329e-04,2.688516884640e-05,4.049701380557e-04,1.386451622076e-03,1.175000000000e+00,0.164349,ok,
ACTIVSg200,4923.88,omega,40,2403,2.789175084789e-03,2.992547673408e-03,2.983283262135e-05,3.650854557696e-04,1.666666666667e+00,0.167110,ok,
ACTIVSg200,4923.88,p,40,2403,4.171508934598e-04,7.095674332519e-05,2.504018069052e-03,1.979688968958e-02,1.175000000000e+00,0.167110,ok,
ACTIVSg200,4923.88,q,40,2403,1.206513533944e-03,3.190529813184e-04,4.314228532873e-03,1.148408703900e-02,1.025000000000e+00,0.167110,ok,
ACTIVSg200,4923.88,vmag,200,2403,3.701794364346e-04,2.581225283363e-05,4.085982501194e-04,1.331122003180e-03,1.175000000000e+00,0.167110,ok,
ACTIVSg200,5878.02,omega,40,2403,2.783013098352e-03,2.976897947681e-03,2.976692442111e-05,3.631762172635e-04,1.666666666667e+00,0.164282,ok,
ACTIVSg200,5878.02,p,40,2403,4.180486702082e-04,6.980440403589e-05,2.509407124272e-03,1.947538770504e-02,1.175000000000e+00,0.164282,ok,
ACTIVSg200,5878.02,q,40,2403,1.206676523758e-03,3.172516234706e-04,4.314811348802e-03,1.141924843374e-02,1.025000000000e+00,0.164282,ok,
ACTIVSg200,5878.02,vmag,200,2403,3.729792836668e-04,2.494068315339e-05,4.116886775367e-04,1.286175690815e-03,1.175000000000e+00,0.164282,ok,
ACTIVSg200,7017.04,omega,40,2403,2.779659647794e-03,2.975362726662e-03,2.973105613527e-05,3.629889230491e-04,1.666666666667e+00,0.167944,ok,
ACTIVSg200,7017.04,p,40,2403,4.186257425531e-04,6.904307294235e-05,2.512871097624e-03,1.926297677735e-02,1.175000000000e+00,0.167944,ok,
ACTIVSg200,7017.04,q,40,2403,1.206215647277e-03,3.158460287259e-04,4.313163355301e-03,1.136865504225e-02,1.025000000000e+00,0.167944,ok,
ACTIVSg200,7017.04,vmag,200,2403,3.754238153194e-04,2.430875027314e-05,4.143869131956e-04,1.253587300842e-03,1.175000000000e+00,0.167944,ok,
ACTIVSg200,8376.78,omega,40,2403,2.772367729310e-03,2.964122623084e-03,2.965306225643e-05,3.616176505464e-04,1.666666666667e+00,0.164141,ok,
ACTIVSg200,8376.78,p,40,2403,4.192899251467e-04,6.869933761050e-05,2.516857964827e-03,1.916707482176e-02,1.175000000000e+00,0.164141,ok,
ACTIVSg200,8376.78,q,40,2403,1.206448958572e-03,3.149634234985e-04,4.313997625468e-03,1.133688628958e-02,1.025000000000e+00,0.164141,ok,
ACTIVSg200,8376.78,vmag,200,2403,3.773081443880e-04,2.383687100335e-05,4.164668060376e-04,1.229252777121e-03,1.175000000000e+00,0.164141,ok,
ACTIVSg200,10000,omega,40,2403,2.765662781728e-03,2.957229569577e-03,2.958134657962e-05,3.607767103657e-04,1.666666666667e+00,0.166670,ok,
ACTIVSg200,10000,p,40,2403,4.197090141705e-04,6.828465337028e-05,2.519373616847e-03,1.905137816243e-02,1.175000000000e+00,0.166670,ok,
ACTIVSg200,10000,q,40,2403,1.206466394579e-03,3.141245665966e-04,4.314059972813e-03,1.130669222703e-02,1.025000000000e+00,0.166670,ok,
ACTIVSg200,10000,vmag,200,2403,3.787024188943e-04,2.344559893001e-05,4.180057843476e-04,1.209075116946e-03,1.175000000000e+00,0.166670,ok,
ACTIVSg2000,10,omega,334,2403,2.947013091460e-01,3.545568502469e-01,9.262674626104e-04,1.505409487790e-02,3.358333333333e+00,2.122819,ok,
ACTIVSg2000,10,p,334,2403,4.555313830505e-03,2.068251583250e-03,6.279513325761e-02,1.368787970078e+00,3.629166666667e+00,2.122819,ok,
