t sa_top sb_top sc_top sa_bottom sb_bottom sc_bottom
0.0030601583 0.9999679347 0.0000000000 0.0000000000 0.7335725433 0.2318646212 0.5333882109
0.0030743000 0.9993202485 0.0000000000 0.0000000000 0.7345521941 0.2326049975 0.5316393527
0.0030884417 0.9857760670 0.0000000000 0.0000000000 0.7355261048 0.2333519529 0.5298892305
0.0031025833 0.7656488918 0.0000000000 0.0000000000 0.7364942462 0.2341054600 0.5281379082
0.0031167250 0.1334611229 0.0000000000 0.0000000000 0.7374565893 0.2348654915 0.5263854495
0.0031308667 0.0072082354 0.0000000000 0.0000000000 0.7384131050 0.2356320198 0.5246319186
0.0031450083 0.0003421576 0.0000000000 0.0000000000 0.7393637646 0.2364050173 0.5228773794
0.0031591500 0.0000161351 0.0000000000 0.0000000000 0.7403085390 0.2371844564 0.5211218959
0.0031732917 0.0000007606 0.0000000000 0.0000000000 0.7412473996 0.2379703091 0.5193655323
0.0031874333 0.0000000359 0.0000000000 0.0000000000 0.7421803175 0.2387625476 0.5176083526
0.0032015750 0.0000000017 0.0000000000 0.0000000000 0.7431072641 0.2395611437 0.5158504211
0.0032157167 0.0000000001 0.0000000000 0.0000000000 0.7440282108 0.2403660693 0.5140918018
0.0032298583 0.0000000002 0.0000000002 0.0000000002 0.7449431290 0.2411772962 0.5123325589
0.0032440000 0.0000000042 0.0000000042 0.0000000042 0.7458519902 0.2419947959 0.5105727567
0.0032581417 0.0000000884 0.0000000884 0.0000000884 0.7467547659 0.2428273172 0.5088124594
0.0032722833 0.0000018752 0.0000018752 0.0000018752 0.7476514278 0.2436695244 0.5070517311
0.0032864250 0.0000397763 0.0000397763 0.0000397763 0.7485419476 0.2445179221 0.5052906362
0.0033005667 0.0008430844 0.0008430844 0.0008430844 0.7494262971 0.2453724835 0.5035292389
0.0033147083 0.0175844396 0.0175844396 0.0175844396 0.7503044480 0.2462331816 0.5017676034
0.0033288500 0.2751995310 0.2751995310 0.2751995310 0.7511763723 0.2470999895 0.5000057939
0.0033429917 0.8895546386 0.8895546386 0.8895546386 0.7520420419 0.2479728800 0.4982438746
0.0033571333 0.9941810529 0.9941810529 0.9941810529 0.7529014288 0.2488518260 0.4964819098
0.0033712750 0.9997241562 0.9997241562 0.9997241562 0.7537545051 0.2497368000 0.4947199637
0.0033854167 0.9999869929 0.9999869929 0.9999869929 0.7546012429 0.2506277748 0.4929581003
0.0033995583 0.9999993868 0.9999993868 0.9999993868 0.7554416146 0.2515247228 0.4911963839
0.0034137000 0.9999999711 0.9999999711 0.9999999711 0.7562755923 0.2524276164 0.4894348786
0.0034278417 0.9999999986 0.9999999986 0.9999999986 0.7571031485 0.2533364280 0.4876736484
0.0034419833 0.9999999999 0.9999999999 0.9999999999 0.7579242556 0.2542511296 0.4859127574
0.0034561250 1.0000000000 0.9999999998 1.0000000000 0.7587388860 0.2551716936 0.4841522696
0.0034702667 1.0000000000 0.9999999948 1.0000000000 0.7595470125 0.2560980918 0.4823922489
0.0034844083 1.0000000000 0.9999998903 1.0000000000 0.7603486075 0.2570302963 0.4806327593
0.0034985500 1.0000000000 0.9999976739 1.0000000000 0.7611436439 0.2579682788 0.4788738647
0.0035126917 1.0000000000 0.9999506586 1.0000000000 0.7619320946 0.2589120113 0.4771156288
0.0035268333 1.0000000000 0.9989543775 1.0000000000 0.7627139322 0.2598614652 0.4753581154
0.0035409750 1.0000000000 0.9782786044 1.0000000000 0.7634891299 0.2608166122 0.4736013883
0.0035551167 1.0000000000 0.6798095595 1.0000000000 0.7642576607 0.2617774238 0.4718455109
0.0035692583 1.0000000000 0.0909819971 1.0000000000 0.7650194977 0.2627438714 0.4700905469
0.0035834000 1.0000000000 0.0046961584 1.0000000000 0.7657746141 0.2637159264 0.4683365597
0.0035975417 1.0000000000 0.0002223794 1.0000000000 0.7665229832 0.2646935598 0.4665836128
0.0036116833 1.0000000000 0.0000104855 1.0000000000 0.7672645783 0.2656767430 0.4648317695
0.0036258250 1.0000000000 0.0000004943 1.0000000000 0.7679993730 0.2666654468 0.4630810929
0.0036399667 1.0000000000 0.0000000233 1.0000000000 0.7687273408 0.2676596424 0.4613316463
0.0036541083 1.0000000000 0.0000000011 1.0000000000 0.7694484553 0.2686593006 0.4595834927
0.0036682500 1.0000000000 0.0000000001 1.0000000000 0.7701626903 0.2696643922 0.4578366951
0.0036823917 1.0000000000 0.0000000000 1.0000000000 0.7708700195 0.2706748879 0.4560913162
0.0036965333 1.0000000000 0.0000000000 0.9999999996 0.7715704170 0.2716907583 0.4543474189
0.0037106750 1.0000000000 0.0000000000 0.9999999911 0.7722638566 0.2727119740 0.4526050658
0.0037248167 1.0000000000 0.0000000000 0.9999998107 0.7729503124 0.2737385055 0.4508643194
0.0037389583 1.0000000000 0.0000000000 0.9999959850 0.7736297588 0.2747703231 0.4491252422
0.0037531000 1.0000000000 0.0000000000 0.9999148386 0.7743021699 0.2758073972 0.4473878964
0.0037672417 1.0000000000 0.0000000000 0.9981966022 0.7749675202 0.2768496980 0.4456523442
0.0037813833 1.0000000000 0.0000000000 0.9630904740 0.7756257841 0.2778971955 0.4439186476
0.0037955250 1.0000000000 0.0000000000 0.5515852158 0.7762769363 0.2789498600 0.4421868686
0.0038096667 1.0000000000 0.0000000000 0.0548095331 0.7769209514 0.2800076613 0.4404570689
0.0038238083 1.0000000000 0.0000000000 0.0027261846 0.7775578043 0.2810705694 0.4387293102
