t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
2.1999999999999999e-02,-1.2149156567088037e+05,2.8065179217049299e+05,-1.6170410120016619e+05,-1.0074180893106309e+05,2.7924431731978751e+05,-1.7973015579440075e+05,1.0000094223635343e+00,4.8225667206054018e-01,-3.1123725642537624e+02,2.4218403225118408e+08,-2.5617885199854686e+02
2.2499999999999999e-02,-1.6584530542184424e+05,2.8173117613073665e+05,-1.1441916386319474e+05,-1.4814436478946861e+05,2.8183261755687598e+05,-1.3572868884014929e+05,1.0000093909322207e+00,4.7727517050636253e-01,-3.8933290952591790e+02,2.3995328198952490e+08,-3.4512685197097596e+02
2.3000000000000000e-02,-2.0655559335940052e+05,2.6962342370546766e+05,-6.5335279139033264e+04,-1.8963444530887908e+05,2.7537051508097094e+05,-8.6284687128128018e+04,1.0000096989453426e+00,4.7266004773312609e-01,-4.5902703611349534e+02,2.3718644425429633e+08,-4.1978187654070257e+02
2.3500000000000000e-02,-2.3782933327324752e+05,2.5090657879704775e+05,-1.1893113453717160e+04,-2.2496211377833324e+05,2.5822185109615789e+05,-3.4398494889385751e+04,1.0000102818361201e+00,4.6893957431658012e-01,-5.0719157730997773e+02,2.3512650212988469e+08,-4.8137990967168179e+02
2.4000000000000000e-02,-2.6257258832011838e+05,2.2057260837444689e+05,4.0037105773044808e+04,-2.5173741557180020e+05,2.3279240298244133e+05,1.9235065880215054e+04,1.0000110760752818e+00,4.6673074387004726e-01,-5.4233119076422156e+02,2.3331879608295783e+08,-5.2410070505080773e+02
2.4500000000000001e-02,-2.7624867170910962e+05,1.8499233792279306e+05,9.2261702474365637e+04,-2.7010160556410061e+05,1.9832294790901220e+05,7.1624183130255507e+04,1.0000119543662709e+00,4.6627238247738956e-01,-5.5354671416413692e+02,2.3263805719016191e+08,-5.4994679129884355e+02
2.5000000000000001e-02,-2.8176774080681242e+05,1.4053945748467252e+05,1.3959598458197014e+05,-2.7841650983908627e+05,1.5763352550755168e+05,1.2194071301450839e+05,1.0000128060011093e+00,4.6766607903804908e-01,-5.4972111621408135e+02,2.3268801876670644e+08,-5.5473185863691970e+02
2.5500000000000002e-02,-2.7585609368424426e+05,9.3320884994583350e+04,1.8344939399256924e+05,-2.7735173516403686e+05,1.1066789465084777e+05,1.6746383824095820e+05,1.0000135029987045e+00,4.7068566677090229e-01,-5.2219636645598382e+02,2.3380557767511111e+08,-5.4147506731139515e+02
2.6000000000000002e-02,-2.6155864149466736e+05,4.0797954807784816e+04,2.1947398487976217e+05,-2.6606550728593377e+05,6.0496721159108012e+04,2.0749235995363240e+05,1.0000139540253190e+00,4.7492024672887773e-01,-4.8034103389084999e+02,2.3562439173273626e+08,-5.0763016419240017e+02
2.6499999999999999e-02,-2.3679074875483493e+05,-1.1304279844039866e+04,2.4898406149937786e+05,-2.4579193930817526e+05,7.5394246051764967e+03,2.3979486666584949e+05,1.0000140939023270e+00,4.7977147273480092e-01,-4.1760929348705912e+02,2.3796279672112522e+08,-4.5727446265627958e+02
2.7000000000000000e-02,-2.0477532852262130e+05,-6.4747261953865585e+04,2.6858048404749698e+05,-2.1645432330163263e+05,-4.5080622127595634e+04,2.6401069414063462e+05,1.0000139030168831e+00,4.8457033029136654e-01,-3.4380373014063673e+02,2.4054840589997873e+08,-3.8939390207058926e+02
