t,Bus_Bus_1_Vm,Genrou_DV1_speed
6.3333300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.3749999999999996e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.4166699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.4583299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.5000000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.5416700000000005e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.5833299999999995e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.6249999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.6666700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.7083300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.7500000000000004e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.7916699999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.8333299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.8750000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.9166700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.9583300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.9999999999999996e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.0416699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.0833299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.1250000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.1666700000000005e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.2083299999999995e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.2499999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.2916700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.3333300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.3750000000000004e-01,1.0000004769999999e+00,1.0000000000000000e+00
7.4166699999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
