frequency_hz,quantity,row,col,label,real,imag,mag,phase_deg,unit
1.080384660610e0,Z,0,2,Z_ac,8.040497498033e-4,1.086979423437e-2,1.089949185503e-2,8.576947767627e1,ohm/km
1.080384660610e0,Z,1,0,Z_ba,8.039317550040e-4,1.170223309096e-2,1.172981524074e-2,8.607001186236e1,ohm/km
1.080384660610e0,Z,1,1,Z_bb,1.668148758648e-1,1.899931596146e-2,1.678933495311e-1,6.497681310814e0,ohm/km
1.080384660610e0,Z,1,2,Z_bc,8.039317550040e-4,1.170223309096e-2,1.172981524074e-2,8.607001186236e1,ohm/km
1.080384660610e0,Z,2,0,Z_ca,8.040497498033e-4,1.086979423437e-2,1.089949185503e-2,8.576947767627e1,ohm/km
1.080384660610e0,Z,2,1,Z_cb,8.039317550040e-4,1.170223309096e-2,1.172981524074e-2,8.607001186236e1,ohm/km
1.080384660610e0,Z,2,2,Z_cc,1.668151124946e-1,1.899920242410e-2,1.678935717928e-1,6.497633675420e0,ohm/km
1.080384660610e0,Y,0,0,Y_aa,0.000000000000e0,5.786994139613e-8,5.786994139613e-8,9.000000000000e1,S/km
1.080384660610e0,Y,0,1,Y_ab,0.000000000000e0,-1.725733348230e-8,1.725733348230e-8,-9.000000000000e1,S/km
1.080384660610e0,Y,0,2,Y_ac,0.000000000000e0,-1.000790118725e-8,1.000790118725e-8,-9.000000000000e1,S/km
1.080384660610e0,Y,1,0,Y_ba,0.000000000000e0,-1.725733348230e-8,1.725733348230e-8,-9.000000000000e1,S/km
1.080384660610e0,Y,1,1,Y_bb,0.000000000000e0,6.095005283063e-8,6.095005283063e-8,9.000000000000e1,S/km
1.080384660610e0,Y,1,2,Y_bc,0.000000000000e0,-1.725733348230e-8,1.725733348230e-8,-9.000000000000e1,S/km
1.080384660610e0,Y,2,0,Y_ca,0.000000000000e0,-1.000790118725e-8,1.000790118725e-8,-9.000000000000e1,S/km
1.080384660610e0,Y,2,1,Y_cb,0.000000000000e0,-1.725733348230e-8,1.725733348230e-8,-9.000000000000e1,S/km
1.080384660610e0,Y,2,2,Y_cc,0.000000000000e0,5.786994139613e-8,5.786994139613e-8,9.000000000000e1,S/km
