omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
733.9726351991704,3.702228103847647e-08,2.493179692398676e-06,4.239070985173858e-08,2.4876439490818117e-06,4.633574802907265e-08,2.484138484689004e-06,4.51444681929044e-08,2.4845777598447136e-06,4.927942250044088e-08,2.519027061652424e-06,5.670275860936396e-07,3.3756620405542214e-06
764.1522010058766,3.787694290491496e-08,2.595314662798856e-06,4.293242898064902e-08,2.589788131338455e-06,4.693129006601968e-08,2.5859877372774547e-06,4.569404446265983e-08,2.5863326590352612e-06,5.065088766251409e-08,2.622069661361505e-06,5.872179277928865e-07,3.494586552466262e-06
795.5726934474478,3.877360277513825e-08,2.7016140763103596e-06,4.349742458966581e-08,2.696102359988729e-06,4.7559174791465506e-08,2.6919988184747526e-06,4.628424644067289e-08,2.692250253920485e-06,5.210707731709499e-08,2.7292950534315574e-06,6.075707300322709e-07,3.617693418605356e-06
828.2851370788098,3.9710163808142566e-08,2.8122538488454105e-06,4.408767389888822e-08,2.806761458438561e-06,4.82180791067287e-08,2.8023472328279413e-06,4.691228099601575e-08,2.8025066761837942e-06,5.3649639235308586e-08,2.840877132345701e-06,6.280437830539802e-07,3.745190964196458e-06
862.3426544880288,4.068648448569622e-08,2.927401963252415e-06,4.4708872339070014e-08,2.921934439824755e-06,4.891050022344131e-08,2.9172020001587673e-06,4.757920004115851e-08,2.9172712591451946e-06,5.5283226944837154e-08,2.9569824079191638e-06,6.485993339328845e-07,3.877259035902856e-06
897.8005525634636,4.169940024154119e-08,3.047246307344722e-06,4.5364171161303654e-08,3.0418092802419842e-06,4.9635656265359856e-08,3.0367509409419656e-06,4.828323565679428e-08,3.036731747633387e-06,5.700981808141589e-08,3.077796359518995e-06,6.691958456370529e-07,4.014126632164752e-06
934.7164123080624,4.274567333877322e-08,3.171976870252096e-06,4.6058366945284275e-08,3.1665770890194336e-06,5.039400094550467e-08,3.1611846497236105e-06,4.902400948511519e-08,3.1610785650476593e-06,5.883223732338308e-08,3.203506720630588e-06,6.897945609418339e-07,4.156019203928667e-06
973.1501823466471,4.382056012257354e-08,3.3017921919018957e-06,4.679613352523704e-08,3.2964377972816606e-06,5.118518210299366e-08,3.2907023193713496e-06,4.980056438995603e-08,3.290510638480485e-06,6.075250400718545e-08,3.3343095207655634e-06,7.103576229220833e-07,4.30317838612769e-06
1013.1642762780488,4.491832617415209e-08,3.4368985920093026e-06,4.7583629426929535e-08,3.431599872398584e-06,5.200934305512872e-08,3.4255113247153406e-06,5.061255487947967e-08,3.425235075709917e-06,6.277283146916349e-08,3.470408586848624e-06,7.308489629580507e-07,4.455860079458747e-06
1054.8236740301722,4.6031496368707906e-08,3.5775112526352038e-06,4.842709297528369e-08,3.5722807805589344e-06,5.286577272691483e-08,3.5658279407651667e-06,5.145892810744535e-08,3.5654678515433703e-06,6.489449443669881e-08,3.612016350284836e-06,7.512356228819142e-07,4.61433172167763e-06
