Time,Bus1_Vm,Bus2_Vm,Bus3_Vm,Gen1_Speed,Gen2_Speed
7.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
7.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
7.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
