case,mu,cpu,trial_1_seconds,trial_2_seconds,trial_3_seconds,trial_4_seconds,trial_5_seconds,trial_6_seconds,trial_7_seconds,cpu_seconds,status,notes
ACTIVSg2000,2894.27,14,2.86476,3.21668,2.5778,2.78744,2.71707,2.6291,3.10403,2.78744,ok,
ACTIVSg2000,3455.11,14,2.88371,2.73688,2.72541,2.70172,4.21518,6.677,4.78088,2.88371,ok,
ACTIVSg2000,4124.63,14,3.89321,3.35125,4.04538,3.91511,3.74993,3.04132,3.29431,3.74993,ok,
ACTIVSg2000,4923.88,14,2.99461,3.11498,3.21524,3.07293,3.87993,3.72854,3.60236,3.21524,ok,
ACTIVSg2000,5878.02,14,3.37107,6.84678,5.97887,4.10813,3.16265,3.60041,3.80639,3.80639,ok,
ACTIVSg2000,7017.04,14,3.57533,3.30677,3.35527,3.55277,3.28709,3.24525,3.4299,3.35527,ok,
ACTIVSg2000,8376.78,14,3.46939,5.56574,3.64762,3.73528,3.39357,3.2867,4.34654,3.64762,ok,
ACTIVSg2000,10000,14,3.6192,4.75653,4.44571,4.01157,4.37308,3.69765,4.03897,4.03897,ok,
WECC240,10,14,0.121228,0.122046,0.126725,0.115906,0.113698,0.122774,0.113451,0.121228,ok,
WECC240,11.9378,14,0.106481,0.110666,0.133394,0.123225,0.110067,0.111217,0.10843,0.110666,ok,
WECC240,14.251,14,0.121675,0.114461,0.12661,0.120456,0.124195,0.119336,0.117483,0.120456,ok,
WECC240,17.0125,14,0.102491,0.10552,0.110449,0.103228,0.102441,0.101131,0.099728,0.102491,ok,
WECC240,20.3092,14,0.10457,0.101136,0.099554,0.10363,0.10831,0.100671,0.104258,0.10363,ok,
WECC240,24.2446,14,0.108311,0.103519,0.106181,0.105046,0.120532,0.114717,0.108273,0.108273,ok,
WECC240,28.9427,14,0.100565,0.099732,0.103438,0.101373,0.102635,0.113709,0.096376,0.101373,ok,
WECC240,34.5511,14,0.127433,0.102026,0.1031,0.10184,0.103302,0.108168,0.104096,0.103302,ok,
WECC240,41.2463,14,0.107552,0.104739,0.106433,0.123172,0.109003,0.106846,0.106758,0.106846,ok,
WECC240,49.2388,14,0.099178,0.118988,0.11289,0.102329,0.123201,0.100136,0.108547,0.108547,ok,
WECC240,58.7802,14,0.109437,0.106596,0.105294,0.113598,0.128712,0.125668,0.110946,0.110946,ok,
WECC240,60,14,0.103697,0.09981,0.094867,0.099683,0.095676,0.097,0.096278,0.097,ok,
WECC240,70.1704,14,0.122498,0.122665,0.122451,0.121108,0.119067,0.138691,0.195191,0.122498,ok,
WECC240,83.7678,14,0.110756,0.101835,0.098614,0.106303,0.099309,0.104294,0.108254,0.104294,ok,
WECC240,100,14,0.101089,0.098175,0.098598,0.098945,0.099272,0.098393,0.100483,0.098945,ok,
WECC240,119.378,14,0.118452,0.120051,0.12355,0.122458,0.117384,0.120366,0.122115,0.120366,ok,
WECC240,142.51,14,0.133111,0.1062,0.106062,0.108657,0.106617,0.107775,0.107072,0.107072,ok,
WECC240,170.125,14,0.119566,0.116841,0.118478,0.119875,0.120669,0.120561,0.125198,0.119875,ok,
WECC240,203.092,14,0.115051,0.113284,0.111709,0.114556,0.125321,0.151059,0.113712,0.114556,ok,
WECC240,240,14,0.111137,0.109546,0.120228,0.111071,0.114224,0.134824,0.124372,0.114224,ok,
WECC240,242.446,14,0.119958,0.123671,0.118948,0.132768,0.124315,0.131091,0.118558,0.123671,ok,
WECC240,289.427,14,0.133535,0.133182,0.132066,0.148412,0.143907,0.148628,0.134025,0.134025,ok,
WECC240,345.511,14,0.144254,0.139696,0.151337,0.146194,0.142373,0.152693,0.144832,0.144832,ok,
WECC240,412.463,14,0.133238,0.13336,0.13597,0.149032,0.13463,0.142567,0.155484,0.13597,ok,
WECC240,492.388,14,0.150295,0.149391,0.151606,0.147206,0.160816,0.192109,0.157049,0.151606,ok,
WECC240,587.802,14,0.144787,0.157802,0.16798,0.160537,0.17492,0.257347,0.238254,0.16798,ok,
WECC240,701.704,14,0.202067,0.208076,0.177761,0.173203,0.190418,0.197542,0.187937,0.190418,ok,
WECC240,837.678,14,0.154085,0.160025,0.153288,0.168902,0.185071,0.167417,0.166516,0.166516,ok,
WECC240,1000,14,0.149468,0.154258,0.149351,0.148588,0.162475,0.146956,0.147965,0.149351,ok,
WECC240,1193.78,14,0.160151,0.15115,0.151804,0.154224,0.148217,0.156322,0.154678,0.154224,ok,
WECC240,1425.1,14,0.190676,0.173915,0.176434,0.165535,0.183937,0.162275,0.162821,0.173915,ok,
WECC240,1701.25,14,0.150715,0.149533,0.1528,0.160912,0.152049,0.14923,0.16114,0.152049,ok,
WECC240,2030.92,14,0.168451,0.169706,0.184485,0.165267,0.165657,0.174688,0.165354,0.168451,ok,
WECC240,2424.46,14,0.163776,0.16677,0.16845,0.163782,0.165603,0.177447,0.167174,0.16677,ok,
WECC240,2894.27,14,0.157817,0.168252,0.154626,0.156363,0.157645,0.15539,0.157405,0.157405,ok,
WECC240,3455.11,14,0.166978,0.162146,0.164977,0.179429,0.166719,0.172792,0.167759,0.166978,ok,
WECC240,4124.63,14,0.166527,0.160504,0.172974,0.163957,0.162242,0.166664,0.16629,0.16629,ok,
WECC240,4923.88,14,0.162294,0.16095,0.163616,0.16574,0.166038,0.165252,0.1651,0.1651,ok,
WECC240,5878.02,14,0.171129,0.237732,0.223401,0.238392,0.17202,0.164771,0.16743,0.17202,ok,
WECC240,7017.04,14,0.184631,0.17673,0.181391,0.182955,0.181075,0.182832,0.182888,0.182832,ok,
WECC240,8376.78,14,0.177053,0.17648,0.178723,0.172188,0.17638,0.176711,0.176114,0.17648,ok,
WECC240,10000,14,0.173273,0.168926,0.164714,0.190584,0.177532,0.197934,0.174557,0.174557,ok,
