t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,LineLumped_line_1_2_i12a,LineLumped_line_1_2_i12b,LineLumped_line_1_2_i12c
3.8500000000000000e-02,-9.4971452712093189e+04,2.7695021968071332e+05,-1.8475196476423848e+05,-7.3595574015552367e+04,2.7346802794303140e+05,-2.0163831641350838e+05,-2.0506030744197071e+02,5.6332968165510977e+02,-3.6383979140934565e+02
3.9000000000000000e-02,-1.4245160080008692e+05,2.8261703611180722e+05,-1.4066854274728615e+05,-1.2291774051266284e+05,2.8202648526660318e+05,-1.6032898055511314e+05,-2.9804658188384008e+02,5.6890900577677314e+02,-2.7252088792630633e+02
3.9500000000000000e-02,-1.8476119944537332e+05,2.7863492049799499e+05,-9.1409786164073099e+04,-1.6811231401316819e+05,2.8018078069416113e+05,-1.1355025910254533e+05,-3.8162862846176108e+02,5.5198265536185761e+02,-1.7235634658793447e+02
4.0000000000000001e-02,-2.2315665333565886e+05,2.6135760699870315e+05,-4.1469738334122347e+04,-2.0701036067579026e+05,2.6899927468673029e+05,-6.2462737372361975e+04,-4.5096851756549086e+02,5.1648011981877346e+02,-6.5642056618325554e+01
4.0500000000000001e-02,-2.5059907735108497e+05,2.3858623467026962e+05,1.2830244276391129e+04,-2.3877836514844018e+05,2.4797407916120315e+05,-9.3039407360926525e+03,-5.0416935987717460e+02,4.6374595227861374e+02,4.3663752221770174e+01
4.1000000000000002e-02,-2.7036424627497804e+05,2.0608199515564213e+05,6.5630411991075292e+04,-2.6215388048055564e+05,2.1798088809388666e+05,4.4077539403742703e+04,-5.4035552956201752e+02,3.9237293907960509e+02,1.5066148523527355e+02
4.1500000000000002e-02,-2.8195685962427326e+05,1.6425427618712807e+05,1.1461446780353825e+05,-2.7598027716206270e+05,1.8078563646658286e+05,9.6165294027605050e+04,-5.5653609839946341e+02,3.0874648655431497e+02,2.5298601300865795e+02
4.2000000000000003e-02,-2.8076303638145461e+05,1.2025147081648043e+05,1.6232860402427899e+05,-2.8027800150896679e+05,1.3673299406450408e+05,1.4462347573364156e+05,-5.5326818009092290e+02,2.1430212829469042e+02,3.4628620364499494e+02
4.2500000000000003e-02,-2.7164935960295203e+05,6.9519936355133323e+04,2.0234580687710430e+05,-2.7459449451938679e+05,8.7889583398288887e+04,1.8797147431909296e+05,-5.3085546448206765e+02,1.1055439656732260e+02,4.2674407784546844e+02
4.3000000000000003e-02,-2.5311200779550470e+05,1.5850842256901815e+04,2.3489163328757175e+05,-2.5901779276845118e+05,3.6297784459704220e+04,2.2485925059713912e+05,-4.8887003473962108e+02,4.8455350058247930e+00,4.9284999739865884e+02
